End-to-End-Testing,,,,,,,,,,,,,
"These examples are based on test cases from match history, and serves multiple purposes: measure recall, and rescore match/CF accuracy in production",,,,,,,,,,,,,
Not Mapped,Not Mapped,Not Mapped,,,,,,Not Mapped,,,Not Mapped,Not Mapped,Not Mapped
MG Index,ASIN Cheat Sheet,CF Cheat Sheet,Brand_left,Code_left,Codetype_left,Title_left,Description_left,Pricing Units,Purchase Price Units,Purchase Price,Date,Train,Train_CF
10000013770-B07NBR4LCB,B07NBR4LCB,6,CREST,10037000401596,upc,CREST KIDS SPARKLE TRIAL SIZE UNBOXED .85 OZ 72/CA,,Unit of Measure,CASE,$16.56 ,20240401,test,test
10000020415-B07X4Z9FMP,B07X4Z9FMP,1,GOJO,5665-02,mfg_ref_code,5665-02: CLEANSER HAND FOAM TFX 1200ML CLEAR 2/CA,,Unit of Measure,CASE,$46.69 ,20240401,test,test
10000021973-B073WBY3KF,B073WBY3KF,10,PDI,D43600,mfg_ref_code,D43600: SANI HANDS POCKET PACKET 65.9% ALCO 100/PK 10PK/CA,,Unit of Measure,CASE,$39.24 ,20240401,test,test
10000020307-B00569AGFE,B00569AGFE,1,PURELL,3900-25-BWL,mfg_ref_code,3900-25-BWL: PURELL JW ADVANCED HAND SANITIZER 1OZ BOWL 25/CA,,Unit of Measure,CASE,$25.02 ,20240401,test,test
10000022212-B0C4ZHJK8T,B0C4ZHJK8T,1,THERABAND,23323,mfg_ref_code,23323: +TRAINER STABLIZER BLACK XTRA-SOFT 1/BX 6/CA,,,BOX,$34.59 ,20240401,,n/a
10000022157-B0BW61MSV2,B0BW61MSV2,1,THERABAND,21434,mfg_ref_code,21434: +THERABAND BLACK ADVANCED 12/CA,,Unit of Measure,EACH,$13.61 ,20240401,test,test
10000001761-B07Z422JK1,B07Z422JK1,8,MEDLINE,NON21450H,mfg_ref_code,PADS ABD STERILE 5 X 9 25/BX 16BX/CA,,Unit of Measure,CASE,$32.26 ,20240401,test,test
10000001005-B007CLRHDS,B007CLRHDS,1,GEORGIA-PACIFIC,80534,mfg_ref_code,WASHCLOTH 13X13 50/POLY 1000/CA,,Unit of Measure,CASE,$44.55 ,20240401,test,test
10000001167-B00F4JITUA,B00F4JITUA,1,ICU MEDICAL,C1000,mfg_ref_code,CONNECTOR CLAVE CS/100,,Unit of Measure,CASE,$74.55 ,20240401,test,test
10020000879-B00DBCJK64,B00DBCJK64,1,Logitech,981-000511,mfg_ref_code,WIRELESS HEADSET MONO H820E,,Each,Each,$120.48 ,20240401,test,test
10020000113-B004URLB16,B004URLB16,1,Poly,61578-01,mfg_ref_code,"Mounting Tape, HL10",by Poly (formerly Plantronics). 86H63AA,Each,Each,$3.22 ,20240401,test,test
10020000496-B0BXG41Y4K,B0BXG41Y4K,1,Logitech,988-000400,mfg_ref_code,"Yeti Nano Black, plus litra light manually added to COGS",,Each,Each,$119.24 ,20240401,test,test
10020000951-B00MOI1MJO,B00MOI1MJO,1,Yealink,YEA-WMB-T48,mfg_ref_code,Wall Mount Bracket for T48,,Each,Each,$5.50 ,20240401,test,test
10020000956-B01FD4YDFU,B01FD4YDFU,1,Yealink,YEA-W56H,mfg_ref_code,Yealink IP DECT Add-on Phone W56H,UPC Code: 841885104359,Each,Each,$75.00 ,20240401,test,test
10020000956-B01M0TPM70,B01M0TPM70,0.5,Yealink,YEA-W56H,mfg_ref_code,Yealink IP DECT Add-on Phone W56H,,Each,Each,$75.00 ,20240401,test,test
10020001048-B0BNQXW2HZ,B0BNQXW2HZ,0.2,Yealink,YEA-SIP-T54W-PWR,mfg_ref_code,SIP-T54W With Power Supply,,Each,Each,$139.00 ,20240401,test,test
90000000100-B0CN1RM2CQ,B0CN1RM2CQ,0.125,Vaseline,859581006846,upc,Vaseline Lip Therapy Original 0.16oz,,Each,Each,$0.99 ,20240715,test,test
90000000762-B00UF7KD1Y,B00UF7KD1Y,0.056,Airheads,152295,,Airheads Bites Candy 4oz Original-wholesale,"Home
/
CANDY
/
SOFT CANDY
Airheads Bites Candy 4oz Original-wholesale
SKU:
152295
Categories:
CANDY
,
SOFT CANDY
Tag:
073390014483
$
1.14
/
lb
Pack Cost:
$
20.52
Airheads Bites Candy 4oz Original, wholesale, bulk  –  Unit per pack 18
Airheads Bites Candy 4oz Original-wholesale
$
1.14
/
lb
Airheads Bites Candy 4oz Original-wholesale quantity
BUY
Units/Pack:
18
Item: 0 Sale",Each,Each,$1.14 ,20240723,test,test
100800000888-B01IA9BEQG,B01IA9BEQG,0.09,Neutrogena,070501013007,UPC,Neutrogena Fragrance Free Norwegian Formula Hand Cream,,Each,Each,$4.90 ,20241113,,test
100800001048-B07Z7H1ZV9,B07Z7H1ZV9,0.25,Dove,079400448217,UPC,Dove Men+care Stain Defense Cool Invisible Solid,,Each,Each,$6.89 ,20241113,,test
100800001157-B007WSVLW4,B007WSVLW4,0.25,Aquafresh,5310034112587000205658,UPC,Aquafresh/Extreme Clean/Pure Breath Action Fresh Mint/12/5.6/oz,,Each,Each,$2.37 ,20241113,,test
100800001166-B082F1MGLZ,B082F1MGLZ,1,Colgate,35000972316,UPC,Colgate/Optic White/Advanced Sparkling White 2pk/12/4.5/oz,,Each,Each,$6.00 ,20241113,,test
100800001176-B0014CV606,B0014CV606,1,Colgate,35000525413,UPC,Colgate/Toothpaste/Sensitive Whitening/24/6/oz,,Each,Each,$2.74 ,20241113,,test
100800081408-B08DJFR9YX,B08DJFR9YX,1,BUSY CO.,850000723474,UPC,BUSY CO._CALM XL BODY WIPES 10CT,,Each,Each,$5.95 ,20241113,test,test
100800081737-B0054RSSKI,B0054RSSKI,1,CLEAR CONSCIENCE,663654862921,UPC,CLEAR CONSCIENCE_CONTACTLENS SOLTN MULTI 12OZ,,Each,Each,$7.15 ,20241113,test,test
100800084054-B07PWYRPCR,B07PWYRPCR,1,HEALTH PLUS,83502103660,UPC,HEALTH PLUS_PROBIOTIC FIBER 30CAPSULE,,Each,Each,$11.80 ,20241113,test,test
100800086348-B00A1FVGXE,B00A1FVGXE,0.167,TRADITIONAL MEDICINALS TEAS,32917002242,UPC,TRADITIONAL MEDICINALS TEAS_LEMON BALM TEA 16BAG,,Each,Each,$4.57 ,20241113,test,test
100800086367-B0012BY26Y,B0012BY26Y,0.333,BOERICKE & TAFEL,308078250977,UPC,BOERICKE & TAFEL_ARNIFLORA ARNICA GEL 2.75OZ,,Each,Each,$8.85 ,20241113,test,test
100800075516-B08QDQCYWN,B08QDQCYWN,1,ANIMA MUNDI APOTHECARY,850001669245,UPC,ANIMA MUNDI APOTHECARY_COLLAGEN BOOSTER FACE OIL DEEP MOISTURIZER 2OZ,,Each,Each,$27.88 ,20241113,test,test
100800021364-B00R0OAW2K,B00R0OAW2K,1,Barilla,76808004205,UPC,"Barilla Gluten Free Penne Pasta, 12 Ounces",,Unit of Measure,Unit of Measure: Case. Pack Size: 8 x 12 Oz,$19.68 ,20241125,,test
